PU_Borough,PU_Zone,trips,avg_total,avg_tip,avg_distance
Brooklyn,Prospect Park,264,30.777045454545437,2.0977272727272727,4.796136363636364
Manhattan,Marble Hill,258,33.93372093023255,1.054186046511628,7.6509302325581405
Queens,Saint Michaels Cemetery/Woodside,258,49.26697674418604,6.332325581395348,5.444651162790697
Queens,Douglaston,258,39.729069767441864,0.7672093023255814,8.22906976744186
Queens,Glen Oaks,240,39.30174999999999,0.33075000000000004,9.368
Queens,East Flushing,222,38.32648648648649,0.5210810810810811,8.044324324324323
Queens,College Point,222,45.907567567567575,1.7748648648648653,8.801621621621623
Bronx,Pelham Bay,222,41.472432432432434,0.0,10.49486486486487
Queens,Bay Terrace/Fort Totten,192,40.190000000000005,0.93125,8.495
Manhattan,Inwood Hill Park,120,41.4135,1.16,8.682500000000001
Staten Island,Arrochar/Fort Wadsworth,114,38.38947368421053,2.032105263157895,3.8521052631578945
Bronx,Van Cortlandt Park,102,41.656470588235294,0.0,10.211176470588235
Manhattan,Highbridge Park,78,58.788461538461526,5.206153846153847,4.686153846153847
Queens,Astoria Park,66,88.62545454545455,11.445454545454545,9.934545454545455
Queens,Forest Park/Highland Park,66,52.468181818181826,6.033636363636364,6.470909090909092
Queens,Willets Point,66,41.085454545454546,0.2727272727272727,6.716363636363637
Bronx,City Island,42,40.56285714285715,0.0,10.285714285714286
Queens,Breezy Point/Fort Tilden/Riis Beach,36,46.001666666666665,0.0,8.65
Bronx,Country Club,30,54.236000000000004,5.778,10.052
Bronx,Bronx Park,30,45.25,0.0,12.384000000000002
Staten Island,Saint George/New Brighton,24,59.967499999999994,0.0,10.5
Staten Island,Heartland Village/Todt Hill,24,125.88999999999999,1.25,18.477500000000003
Staten Island,South Beach/Dongan Hills,24,35.6525,0.0,9.3175
Queens,Jamaica Bay,18,59.53,5.933333333333334,12.756666666666664
Queens,Broad Channel,18,36.650000000000006,0.0,11.5
Staten Island,Bloomfield/Emerson Hill,12,15.200000000000001,0.0,2.15
Staten Island,New Dorp/Midland Beach,12,100.0,21.81,18.060000000000002
Staten Island,Oakwood,12,61.525,5.0,13.245
Bronx,Crotona Park,12,51.720000000000006,0.0,12.475000000000001
Staten Island,Westerleigh,12,73.29,12.299999999999999,15.025
Bronx,Pelham Bay Park,12,39.5,0.0,9.9
Staten Island,Grymes Hill/Clifton,12,47.585,1.845,10.729999999999999
Staten Island,Charleston/Tottenville,6,354.23,58.75,57.199999999999996
Manhattan,Governor's Island/Ellis Island/Liberty Island,6,18.48,3.08,1.41
Staten Island,Great Kills,6,111.48,18.58,16.06
Staten Island,West Brighton,6,5.8999999999999995,0.0,0.34
Staten Island,Rossville/Woodrow,6,77.71,0.0,29.579999999999995
Bronx,Rikers Island,6,10.9,0.0,0.39999999999999997
Staten Island,Stapleton,6,1.0,0.0,0.39999999999999997
Staten Island,Mariners Harbor,6,58.0,0.0,12.92
Brooklyn,Green-Wood Cemetery,6,90.0,0.0,5.3
